name	category	relevance	country_iso	x	y
Tiwanaku	Archaeological Site	247	BO	1.3925129718272564	0.8840147361323356
Igreja do Evangelho Quadrangular	Church	218	BR	1.8270119483987026	0.6299529454825117
Igreja Adventista do Sétimo Dia	Church	338	BR	1.9966658548424656	0.8217885287582793
Igreja Batista	Church	637	BR	1.604461033520595	1.3584750752751509
Palácio Guanabara	Palace	196	BR	1.750038320636572	0.4961925638274198
Palácio Boa Vista	Palace	140	BR	1.6412249186664942	0.43928613256073484
Congregação Cristã no Brasil	Church	574	BR	2.336128979531169	1.185934649309262
Instituto Brasileiro de Geografia e Estatística	Building	154	BR	1.635925325364291	0.5209347254620798
Igreja Metodista Wesleyana	Church	79	BR	1.5477303287124433	0.40904694948440584
Fundação Armando Alvares Penteado	Building	82	BR	1.5740715567246804	0.36572050661575994
Convento da Penha	Historical Site	65	BR	1.5042646914114939	0.23987488284284147
Igreja Cristã Maranata	Church	128	BR	1.501361105703333	0.3244815862933406
Elevador Lacerda	Monument	76	BR	1.301950744859	0.1998378723528233
Palácio da Alvorada	Palace	8880	BR	13.988088830488799	14.179859204470345
Palácio da Liberdade	Palace	111	BR	1.5252776864764914	0.35865935348499683
Xunantunich	Archaeological Site	99	BZ	-0.07414948344966493	0.7669766772795672
Shipyard	Archaeological Site	176	BZ	0.016563734083509214	0.877754396123321
Santa Ana	Archaeological Site	50	BZ	-0.16129314219740903	0.6753008944074426
San Jose	Archaeological Site	92	BZ	-0.09530928902812215	0.7511900883039524
San Antonio	Archaeological Site	50	BZ	-0.14374154358750532	0.6883668853608258
Saltillo	Archaeological Site	186	BZ	0.020124409720946694	0.8882729463980217
Saint Helena	Archaeological Site	218	BZ	0.05989989779766173	0.9381692589163471
Mayflower	Archaeological Site	172	BZ	0.04342359410536328	0.8725560278860445
Louisville	Archaeological Site	62	BZ	-0.15953602094437414	0.6935591795504569
Lamanai	Archaeological Site	85	BZ	-0.11144070622218535	0.7353892536090735
Kendal	Archaeological Site	203	BZ	0.09105932231929659	0.9214899617241211
Esperanza	Archaeological Site	268	BZ	0.19192455738237202	1.03394630896409
Douglas	Archaeological Site	76	BZ	-0.13897810234226335	0.7186002494033071
Cuello	Archaeological Site	55	BZ	-0.16387709970886818	0.6861341121630192
Caracol	Archaeological Site	130	BZ	-0.018909211781571986	0.8169091396501543
Caledonia	Archaeological Site	92	BZ	-0.11485014833710788	0.7425421170687236
Arenal	Archaeological Site	52	BZ	-0.13982626344369972	0.6934820844255567
Altun Ha	Archaeological Site	68	BZ	-0.1331543587951714	0.7046175556964799
Bedrock	Archaeological Site	314	BZ	0.20972441858574642	1.0990718925082843
Hockey Hall of Fame	Museum	446	CA	-0.33210682777769873	1.0611980436408885
Dundurn Castle	Castle	57	CA	-0.8847406252541573	0.45787499322387015
Ontario Science Centre	Museum	144	CA	-0.7689222891965204	0.5854858230598456
Saint Catherine Street	Building	75	CA	-0.8737405512408754	0.39236350736850706
Gastown	Historical Site	111	CA	-1.384969109986899	1.0867238256653704
Basilica of Sainte-Anne-de-Beaupré	Church	129	CA	-0.8205810833138674	0.4354615058823646
Science World (Vancouver)	Museum	52	CA	-1.46951512766338	0.9939067881871294
Canadian Museum of Nature	Museum	92	CA	-0.8651563135847049	0.4476447796104464
National Gallery of Canada	Museum	91	CA	-0.8672355801907007	0.4461313840154293
Toronto City Hall	Building	137	CA	-0.7774093579928711	0.5753693956988628
Canada Place	Building	79	CA	-1.431185310902294	1.0363922926401397
Bata Shoe Museum	Museum	67	CA	-0.8788086074615152	0.46544546061408937
Art Gallery of Ontario	Museum	142	CA	-0.7702773816914436	0.5833392167165434
Montreal Museum of Fine Arts	Museum	66	CA	-0.8864705225241262	0.37847557451561853
Test	Church	278	CA	-1.3579378879830473	1.3795253245704897
Train station	Historical Site	467	CA	-0.8758409115406521	1.6580650144051117
Casa Loma	Castle	472	CA	-0.2959321358162556	1.1023613870964615
Olympic Village	Building	64	CA	-1.4521651373644116	1.0129120678500223
La Tène	Historical Site	63	CH	-0.2181950915413227	-0.6989129519407925
Château de Chillon	Building	107	CH	-0.13679682329515616	-0.6257733155269596
Augusta Raurica	Archaeological Site	53	CH	-0.24306853047968607	-0.7263381653948308
Fraumünster	Church	84	CH	-0.18589154175419217	-0.6876735318202877
Grossmünster	Church	95	CH	-0.1700432590535317	-0.6704127661534428
Basler Münster	Church	107	CH	-0.16719367137851238	-0.6398190462722202
Kunstmuseum Basel	Museum	55	CH	-0.24199044853143073	-0.7215980730408111
Ei	Building	131	CH	-0.10330525243771406	-0.5947836461652922
Médecins Sans Frontières	Building	514	CH	0.44871214725000913	0.025439480504604196
Le Château	Historical Site	53	CH	-0.22566512760006846	-0.7113574153491444
Schloss	Historical Site	55	CH	-0.2227527265399984	-0.7293656799506419
Vigo	Building	58	CL	1.2320658995351208	0.6210428098749035
Tortuga	Building	66	CL	1.6879240097027306	0.7138739254314003
Sepúlveda	Building	91	CL	2.1106075403548292	0.8319298850817637
Santana	Building	92	CL	2.1131088175726416	0.8352540377311473
San Juan	Building	71	CL	1.4171211526123657	0.6624152442191522
Reyes	Building	58	CL	2.0566920492664735	0.7816096539169023
Ramírez	Building	77	CL	2.079766424914207	0.8120165489684097
Punta Arenas	Building	302	CL	2.025898406282199	1.0858928583910004
Puente	Building	88	CL	2.1056986694913666	0.828691986014537
Pérez	Building	95	CL	2.1096696620127835	0.8400968924895937
Pardo	Building	268	CL	2.3603817084740606	1.1107999833908024
Panamá	Building	303	CL	2.026899227237687	1.0922838926295204
Mare	Building	206	CL	1.5535420493818195	0.8385941154202656
Los Pinos	Building	165	CL	2.4101007621309627	0.9535004311957898
Las Vegas	Building	82	CL	1.9256692737482304	0.7853143862259195
La Quebrada	Building	92	CL	1.7656974177338107	0.7832768652722853
La Flor	Building	95	CL	1.7612396195796802	0.7721134432870822
Kolovrat	Building	100	CL	2.085920212544801	0.8299154024732907
Irene	Building	70	CL	2.281021347566526	0.780604892958901
Iglesia	Building	76	CL	1.3761822571116538	0.6381475596253314
García	Building	138	CL	2.181497666917767	0.8994232567282436
Faro	Building	100	CL	1.5674657787786392	0.7472008600273785
Encarnación	Building	67	CL	1.6929921832597674	0.7317773519639649
El Bolsón	Building	118	CL	1.8385148045825048	0.8258699181419332
El Alto	Building	99	CL	1.7191079669613678	0.7696708111574582
Charles	Building	263	CL	2.471731660491061	1.1180802787394268
Centinela	Building	63	CL	1.829362405968164	0.7550308842050778
Carmen	Building	71	CL	1.2343740322907881	0.6400043482194845
Bélgica	Building	575	CL	2.413194758940224	1.521314735534197
Aroma	Building	108	CL	1.2822476785854588	0.6880375019876825
Angostura	Building	180	CL	1.860123009208449	0.9132759679489705
Yinxu	Historical Site	79	CN	1.1099579205672576	-2.0421680711758605
